codigo,fecha_vencimiento
010425INI,2025-05-15
260325T11,2025-05-13
280325T3,2025-05-15
310325T1,2025-05-16
91,2025-04-01
310325T4,2025-05-16
220325T1,2025-05-15
310325,2025-04-16
10425T,2025-04-16
1042025Y,2025-04-16
260325,2025-04-15
020425T3,2025-04-09
250325T9,2025-05-15
010425T2,2025-04-16
220425,2025-04-22
2002,2025-05-10
190325,2025-03-28
3102,2025-05-10
CL71250326,2025-04-02
L31032025,2025-04-18
L24MAR25,2025-04-11
L260325,2025-04-26
2903,2025-04-15
1024,2025-04-16
1025,2025-04-16
1022,2025-10-29
20425T,2025-04-16
200325,2025-05-10
L860004539024,2025-10-06
H2O9512,2025-06-13
L6P0004532468,2025-09-04
L3L0004536777,2025-05-18
L1L0004543893,2025-07-19
L8R0004542421,2025-07-25
25,2026-01-20
50,2025-11-05
75,2025-07-01
85,2026-01-08
111,2025-08-22
122,2025-07-21
135,2026-01-13
145,2027-01-14
155,2026-01-15
165T,2026-01-16
205,2026-01-20
215T,2025-07-01
234,2025-05-07
235,2026-01-23
275,2025-08-05
280,2025-01-26
295T,2025-08-05
305,2027-01-30
315T,2026-01-31
325,2025-06-15
345,2027-02-03
355,2025-08-05
365,2037-07-05
374,2025-12-30
375F,2025-08-01
415,2025-08-01
425A,2026-02-10
454,2026-02-11
484,2025-01-02
485,2025-08-05
495,2025-08-01
505T,2026-02-18
510,2026-02-19
511,2025-12-12
515,2025-10-01
524,2026-01-31
555,2025-04-25
558,2025-08-05
585,2025-04-02
595,2026-02-07
605T,2025-08-05
625T,2025-09-01
635,2025-08-05
645T,2027-03-04
665,2037-10-13
695,2025-08-05
715T,2025-08-05
725,2026-03-12
745,2026-03-13
775T,2025-08-05
795T,2025-08-05
816,2025-08-05
824,2025-04-06
902,2025-08-05
1103,2025-11-21
1111,2025-04-19
1223,2025-04-01
1234,2026-03-16
1310,2025-05-01
1311,2025-10-11
1314,2025-08-23
1428,2026-02-12
1494,2025-05-04
1520,2025-08-05
1530,2025-11-25
1691,2025-11-22
1703,2025-05-30
1710,2025-04-06
1903,2025-10-11
1977,2025-04-28
2025,2025-05-23
2039,2025-08-09
2041,2025-07-24
2055,2025-07-26
2089,2025-08-09
2094,2025-09-12
2096,2025-10-01
2109,2025-09-19
2110,2025-08-05
2111,2025-10-03
2123,2025-10-23
2125,2025-10-16
2132,2025-08-05
2145,2025-08-05
2146,2025-11-07
2153,2025-11-08
2159,2025-11-15
2181,2025-11-21
2194,2025-08-05
2196,2025-12-26
2214,2025-08-05
2350,2026-01-01
2394,2025-06-12
2403,2025-08-01
2409,2025-04-11
2412,2025-09-09
2424,2025-08-14
2443,2025-08-01
2484,2025-11-06
2494,2025-08-05
2511,2039-06-04
2544,2025-07-01
2634,2025-10-09
2703,2025-08-05
2724,2025-04-15
2784,2025-10-01
2834,2025-08-05
2904,2025-08-05
2964,2025-10-01
2974,2025-04-01
2984,2025-04-01
2994,2025-08-05
3004,2025-04-01
3044,2025-10-01
3113,2025-10-10
3114,2025-11-01
3134,2025-11-01
3184,2025-11-08
3234,2025-11-12
3254,2025-11-13
3264,2025-11-18
3274,2025-11-20
3324,2025-05-01
3334,2025-08-05
3354,2025-08-05
3454,2025-11-27
3484,2025-05-01
3564,2025-11-30
3584,2025-08-05
3594,2025-08-05
3624,2025-06-01
4063,2025-12-21
5001,2025-08-05
5004,2025-06-01
5099,2025-06-01
6001,2025-11-26
6725,2026-02-22
7324,2026-01-16
10101,2026-03-03
10225,2026-02-22
10326,2025-04-21
12042,2026-03-13
12107,2025-08-05
14352,2026-02-01
17991,2026-03-01
20210,2025-06-26
20924,2025-05-15
21124,2026-12-18
21224,2026-03-25
22240,2025-06-28
22301,2025-08-22
24425,2025-11-02
30224,2025-04-02
30225,2026-02-10
30325,2025-07-22
32024,2025-04-24
40325,2025-02-03
45325,2026-01-28
45353,2025-08-05
45354,2025-09-12
45475,2025-09-05
45540,2025-02-03
45567,2025-03-02
45594,2025-03-03
45597,2025-07-02
45598,2025-05-05
45601,2025-10-02
45667,2025-10-29
45670,2025-11-01
45689,2025-11-02
45691,2025-11-04
45701,2025-01-10
45705A,2025-01-13
45709,2026-02-01
45710,2025-06-04
45713D,2026-02-13
45719,2025-06-18
45727,2026-01-17
45733,2025-08-22
45734,2025-08-25
45735D,2025-03-03
45740,2025-09-11
45747A,2025-04-06
46203,2025-04-05
51224,2025-05-05
55024,2025-04-24
60225,2025-04-18
62824,2026-09-09
70125,2025-12-05
70225,2026-02-21
70325,2025-08-06
71225,2025-07-12
80125D,2026-01-17
80325,2026-02-07
90225,2025-04-11
91530,2026-12-07
91790,2026-01-08
100225,2025-09-09
100325,2027-02-09
101224,2026-11-27
110325,2026-12-28
110425,2025-09-07
112722,2025-04-18
120913,2027-06-10
130137,2025-08-05
130225,2025-07-01
130512,2025-06-20
131124,2025-07-21
131202,2025-11-12
140325,2026-02-13
150125,2025-06-19
150325,2025-11-13
170125,2025-06-01
170325,2025-09-15
180224,2026-01-15
180225,2025-03-24
180325,2026-01-17
181124,2025-05-09
181224,2025-02-18
183240,2026-02-18
200125,2025-09-15
200225,2028-11-18
206360,2025-12-18
210125,2026-07-01
211225,2025-06-21
220225,2025-06-21
230224,2027-04-10
230225,2025-07-21
231224,2026-02-13
231225,2025-08-22
232002,2025-07-15
240225,2025-09-07
240325,2025-07-21
240616,2025-08-17
240917,2025-08-27
250225,2025-08-19
250325,2025-07-01
260225,2025-04-11
261224,2026-06-15
270125,2025-09-16
270225,2026-02-25
270325,2025-09-21
270825,2025-09-02
280325,2025-09-22
281024,2027-12-26
281224,2025-05-27
281225,2025-07-01
290325,2025-09-23
291224,2025-04-13
300125,2025-08-27
302725,2026-02-04
310125,2026-10-28
328424,2025-12-20
330124,2026-02-18
335424,2025-05-09
500525A,2025-12-29
600925,2025-05-21
625024,2025-10-27
633324,2025-06-15
701025,2025-07-10
701425,2025-10-27
702025,2025-12-19
702125,2026-01-05
703325,2025-10-09
710124,2025-06-06
725124,2025-08-28
732624,2026-01-10
912701,2026-01-14
914701,2025-10-20
914702,2025-10-21
915402,2026-02-02
917901,2025-04-10
979901,2025-06-07
1002125,2025-11-21
1003725,2026-09-23
1026824,2026-11-01
1032025,2026-11-08
1034824,2026-12-03
1101325,2026-12-28
1104425,2026-12-30
1120224,2026-04-21
1128724,2025-11-06
1133124,2025-06-24
1133924,2025-09-01
1203029,2025-09-13
1234724,2025-10-13
1301312,2026-02-13
1310940,2025-04-20
1657605,2025-07-13
1703025,2025-08-26
1735215,2025-12-04
1735217,2027-05-21
1735218,2025-12-12
1802225,2025-07-10
1806125,2029-12-18
1806525,2025-08-24
1823624,2026-01-30
1835524,2025-06-12
2022025,2025-06-12
2032124,2025-06-12
